lap_n,stint_n,compounds,pit_laps,team,rain,driver_name,grid_pos
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 11.0]",Red Bull Racing,0,VER,1
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 14.0]",Mercedes,0,HAM,2
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 31.0]",Red Bull Racing,0,PER,3
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 13.0]",Ferrari,0,LEC,4
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 12.0]",McLaren,0,RIC,6
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 16.0]",Mercedes,0,BOT,9
56.0,3.0,"['SOFT', 'HARD']","[1.0, 12.0]",Ferrari,0,SAI,5
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 11.0]",McLaren,0,NOR,7
55.0,3.0,"['SOFT', 'HARD']","[1.0, 10.0]",AlphaTauri,0,TSU,10
55.0,3.0,"['MEDIUM', 'HARD']","[1.0, 39.0]",Aston Martin,0,VET,18
55.0,3.0,"['MEDIUM', 'HARD']","[1.0, 27.0]",Alfa Romeo Racing,0,GIO,12
55.0,3.0,"['MEDIUM', 'HARD']","[1.0, 35.0]",Aston Martin,0,STR,13
55.0,3.0,"['MEDIUM', 'HARD']","[1.0, 32.0]",Alfa Romeo Racing,0,RAI,15
55.0,3.0,"['MEDIUM', 'HARD']","[1.0, 10.0]",Williams,0,RUS,20
55.0,3.0,"['MEDIUM', 'HARD']","[1.0, 6.0]",Williams,0,LAT,14
54.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 12.0, 35.0]",Haas F1 Team,0,MSC,16
54.0,4.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 2.0, 25.0]",Haas F1 Team,0,MAZ,17
49.0,4.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 8.0, 40.0]",Alpine,0,ALO,19
40.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 4.0, 26.0]",Alpine,0,OCO,11
14.0,2.0,"['MEDIUM', 'HARD']","[1.0, 11.0]",AlphaTauri,0,GAS,8
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 14.0]",Mercedes,0,HAM,2
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 40.0]",Red Bull Racing,0,VER,1
56.0,4.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 17.0, 55.0]",Mercedes,0,BOT,3
56.0,3.0,"['SOFT', 'MEDIUM', 'HARD']","[1.0, 13.0, 34.0]",McLaren,0,NOR,7
56.0,4.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 20.0, 39.0]",Red Bull Racing,0,PER,0
56.0,3.0,"['SOFT', 'MEDIUM', 'HARD']","[1.0, 13.0, 33.0]",Ferrari,0,LEC,4
56.0,3.0,"['SOFT', 'MEDIUM', 'HARD']","[1.0, 14.0, 33.0]",McLaren,0,RIC,6
56.0,3.0,"['SOFT', 'MEDIUM', 'HARD']","[1.0, 16.0, 38.0]",Ferrari,0,SAI,8
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 16.0]",AlphaTauri,0,TSU,13
56.0,3.0,"['SOFT', 'MEDIUM', 'HARD']","[1.0, 13.0, 29.0]",Aston Martin,0,STR,10
56.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 14.0, 30.0]",Alfa Romeo Racing,0,RAI,14
55.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 13.0, 31.0]",Alfa Romeo Racing,0,GIO,12
55.0,3.0,"['SOFT', 'MEDIUM', 'HARD']","[1.0, 14.0, 32.0]",Alpine,0,OCO,16
55.0,3.0,"['SOFT', 'MEDIUM']","[1.0, 14.0]",Williams,0,RUS,15
